Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.01001774583796e+009	(-4.79406970265482e+000dB,5.36331772656562e+001°)	(-1.87955989461975e+000dB,-3.51488685475824e+001°)	(-1.87955989461975e+000dB,-3.51488685475824e+001°)	(-4.79406970265463e+000dB,5.36331772656562e+001°)
1.02013584690766e+009	(-4.73404831150732e+000dB,5.33594966715382e+001°)	(-1.91028585308110e+000dB,-3.54291840731757e+001°)	(-1.91028585308110e+000dB,-3.54291840731757e+001°)	(-4.73404831150695e+000dB,5.33594966715382e+001°)
1.03035530854224e+009	(-4.67439129329263e+000dB,5.30845553530240e+001°)	(-1.94146290297261e+000dB,-3.57107041184836e+001°)	(-1.94146290297261e+000dB,-3.57107041184836e+001°)	(-4.67439129329250e+000dB,5.30845553530240e+001°)
1.04067714614608e+009	(-4.61510147542895e+000dB,5.28083696347392e+001°)	(-1.97309569532320e+000dB,-3.59934124630815e+001°)	(-1.97309569532320e+000dB,-3.59934124630815e+001°)	(-4.61510147542871e+000dB,5.28083696347392e+001°)
1.05110238529561e+009	(-4.55618164619430e+000dB,5.25309562202026e+001°)	(-2.00518888252992e+000dB,-3.62772924981643e+001°)	(-2.00518888252992e+000dB,-3.62772924981643e+001°)	(-4.55618164619453e+000dB,5.25309562202026e+001°)
1.06163206184124e+009	(-4.49763455306748e+000dB,5.22523321879081e+001°)	(-2.03774711766826e+000dB,-3.65623272302847e+001°)	(-2.03774711766826e+000dB,-3.65623272302847e+001°)	(-4.49763455306706e+000dB,5.22523321879081e+001°)
1.07226722201026e+009	(-4.43946290106657e+000dB,5.19725149870340e+001°)	(-2.07077505383176e+000dB,-3.68484992854368e+001°)	(-2.07077505383176e+000dB,-3.68484992854368e+001°)	(-4.43946290106625e+000dB,5.19725149870341e+001°)
1.08300892251080e+009	(-4.38166935110533e+000dB,5.16915224328074e+001°)	(-2.10427734351081e+000dB,-3.71357909135004e+001°)	(-2.10427734351081e+000dB,-3.71357909135004e+001°)	(-4.38166935110533e+000dB,5.16915224328074e+001°)
1.09385823063683e+009	(-4.32425651835308e+000dB,5.14093727014951e+001°)	(-2.13825863800732e+000dB,-3.74241839930326e+001°)	(-2.13825863800733e+000dB,-3.74241839930327e+001°)	(-4.32425651835289e+000dB,5.14093727014951e+001°)
1.10481622437418e+009	(-4.26722697060705e+000dB,5.11260843250343e+001°)	(-2.17272358689092e+000dB,-3.77136600364151e+001°)	(-2.17272358689092e+000dB,-3.77136600364151e+001°)	(-4.26722697060693e+000dB,5.11260843250343e+001°)
1.11588399250768e+009	(-4.21058322668235e+000dB,5.08416761853044e+001°)	(-2.20767683750066e+000dB,-3.80042001953554e+001°)	(-2.20767683750066e+000dB,-3.80042001953554e+001°)	(-4.21058322668229e+000dB,5.08416761853044e+001°)
1.12706263472934e+009	(-4.15432775481520e+000dB,5.05561675080339e+001°)	(-2.24312303449325e+000dB,-3.82957852667398e+001°)	(-2.24312303449325e+000dB,-3.82957852667398e+001°)	(-4.15432775481536e+000dB,5.05561675080339e+001°)
1.13835326174760e+009	(-4.09846297108636e+000dB,5.02695778563484e+001°)	(-2.27906681944249e+000dB,-3.85883956988377e+001°)	(-2.27906681944249e+000dB,-3.85883956988377e+001°)	(-4.09846297108658e+000dB,5.02695778563484e+001°)
1.14975699539767e+009	(-4.04299123786378e+000dB,4.99819271239581e+001°)	(-2.31551283049197e+000dB,-3.88820115978532e+001°)	(-2.31551283049197e+000dB,-3.88820115978532e+001°)	(-4.04299123786381e+000dB,4.99819271239581e+001°)
1.16127496875305e+009	(-3.98791486226823e+000dB,4.96932355279900e+001°)	(-2.35246570206505e+000dB,-3.91766127348230e+001°)	(-2.35246570206505e+000dB,-3.91766127348230e+001°)	(-3.98791486226851e+000dB,4.96932355279900e+001°)
