Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.87793672821967e+001dB,9.90867080020871e+000°)	(-3.11942593968050e-002dB,-3.60113838676513e-002°)	(-3.11942593968031e-002dB,-3.60113838676513e-002°)	(-4.87793672822007e+001dB,9.90867080021879e+000°)
1.01001774583802e+006	(-4.87743874067985e+001dB,1.00031339155933e+001°)	(-3.12030994657423e-002dB,-3.63720998035756e-002°)	(-3.12030994657394e-002dB,-3.63720998035753e-002°)	(-4.87743874067929e+001dB,1.00031339155789e+001°)
1.02013584690772e+006	(-4.87693483464624e+001dB,1.00984466920369e+001°)	(-3.12119842203659e-002dB,-3.67364287406070e-002°)	(-3.12119842203630e-002dB,-3.67364287406068e-002°)	(-4.87693483464593e+001dB,1.00984466920336e+001°)
1.03035530854230e+006	(-4.87642491901997e+001dB,1.01946155110847e+001°)	(-3.12209138906493e-002dB,-3.71044068677260e-002°)	(-3.12209138906463e-002dB,-3.71044068677262e-002°)	(-4.87642491901955e+001dB,1.01946155110803e+001°)
1.04067714614614e+006	(-4.87590890137554e+001dB,1.02916467710374e+001°)	(-3.12298887121454e-002dB,-3.74760707329104e-002°)	(-3.12298887121454e-002dB,-3.74760707329105e-002°)	(-4.87590890137529e+001dB,1.02916467710295e+001°)
1.05110238529567e+006	(-4.87538668786877e+001dB,1.03895468855833e+001°)	(-3.12389089233203e-002dB,-3.78514572451387e-002°)	(-3.12389089233183e-002dB,-3.78514572451388e-002°)	(-4.87538668786941e+001dB,1.03895468856043e+001°)
1.06163206184130e+006	(-4.87485818294441e+001dB,1.04883222757273e+001°)	(-3.12479747549003e-002dB,-3.82306036916161e-002°)	(-3.12479747549013e-002dB,-3.82306036916161e-002°)	(-4.87485818294393e+001dB,1.04883222757290e+001°)
1.07226722201032e+006	(-4.87432329001598e+001dB,1.05879793781373e+001°)	(-3.12570864562300e-002dB,-3.86135477379921e-002°)	(-3.12570864562310e-002dB,-3.86135477379923e-002°)	(-4.87432329001651e+001dB,1.05879793781370e+001°)
1.08300892251087e+006	(-4.87378191043653e+001dB,1.06885246408523e+001°)	(-3.12662442582539e-002dB,-3.90003273991870e-002°)	(-3.12662442582549e-002dB,-3.90003273991868e-002°)	(-4.87378191043617e+001dB,1.06885246408455e+001°)
1.09385823063689e+006	(-4.87323394449755e+001dB,1.07899645178635e+001°)	(-3.12754484100695e-002dB,-3.93909811038326e-002°)	(-3.12754484100685e-002dB,-3.93909811038325e-002°)	(-4.87323394449723e+001dB,1.07899645178625e+001°)
1.10481622437424e+006	(-4.87267929073326e+001dB,1.08923054721597e+001°)	(-3.12846991547766e-002dB,-3.97855476527510e-002°)	(-3.12846991547785e-002dB,-3.97855476527510e-002°)	(-4.87267929073341e+001dB,1.08923054721639e+001°)
1.11588399250775e+006	(-4.87211784601175e+001dB,1.09955539747398e+001°)	(-3.12939967335508e-002dB,-4.01840662266481e-002°)	(-3.12939967335527e-002dB,-4.01840662266483e-002°)	(-4.87211784601194e+001dB,1.09955539747483e+001°)
