Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.59906868421475e+001dB,2.32574815020965e+001°)	(-1.26686561369182e-002dB,-3.59475337945456e-002°)	(-1.26686561369250e-002dB,-3.59475337945456e-002°)	(-5.59906868421465e+001dB,2.32574815021112e+001°)
1.01232310441706e+006	(-5.59631678738910e+001dB,2.34821674721504e+001°)	(-1.26873134667453e-002dB,-3.63904409129947e-002°)	(-1.26873134667463e-002dB,-3.63904409129948e-002°)	(-5.59631678738903e+001dB,2.34821674721410e+001°)
1.02479806773660e+006	(-5.59353289802248e+001dB,2.37083630895769e+001°)	(-1.27060861546905e-002dB,-3.68388045719694e-002°)	(-1.27060861546934e-002dB,-3.68388045719694e-002°)	(-5.59353289802254e+001dB,2.37083630895675e+001°)
1.03742676133172e+006	(-5.59071665475389e+001dB,2.39360625858047e+001°)	(-1.27249749262875e-002dB,-3.72926919820854e-002°)	(-1.27249749262923e-002dB,-3.72926919820852e-002°)	(-5.59071665475369e+001dB,2.39360625857955e+001°)
1.05021107963667e+006	(-5.58786769576159e+001dB,2.41652597522984e+001°)	(-1.27439805139040e-002dB,-3.77521711932542e-002°)	(-1.27439805139079e-002dB,-3.77521711932545e-002°)	(-5.58786769576136e+001dB,2.41652597522746e+001°)
1.06315294043098e+006	(-5.58498565880993e+001dB,2.43959479499481e+001°)	(-1.27631036569390e-002dB,-3.82173110791993e-002°)	(-1.27631036569390e-002dB,-3.82173110791994e-002°)	(-5.58498565880985e+001dB,2.43959479499410e+001°)
1.07625428512722e+006	(-5.58207018128175e+001dB,2.46281200815285e+001°)	(-1.27823450980338e-002dB,-3.86881813756432e-002°)	(-1.27823450980328e-002dB,-3.86881813756433e-002°)	(-5.58207018128194e+001dB,2.46281200815393e+001°)
1.08951707906216e+006	(-5.57912090015968e+001dB,2.48617685986789e+001°)	(-1.28017055818800e-002dB,-3.91648526652879e-002°)	(-1.28017055818829e-002dB,-3.91648526652879e-002°)	(-5.57912090015961e+001dB,2.48617685986707e+001°)
1.10294331179161e+006	(-5.57613745273317e+001dB,2.50968855014097e+001°)	(-1.28211858639431e-002dB,-3.96473964065893e-002°)	(-1.28211858639450e-002dB,-3.96473964065892e-002°)	(-5.57613745273294e+001dB,2.50968855013879e+001°)
1.11653499738892e+006	(-5.57311947623227e+001dB,2.53334623245208e+001°)	(-1.28407867019271e-002dB,-4.01358849343796e-002°)	(-1.28407867019232e-002dB,-4.01358849343794e-002°)	(-5.57311947623226e+001dB,2.53334623245042e+001°)
1.13029417474705e+006	(-5.57006660827753e+001dB,2.55714901381931e+001°)	(-1.28605088606319e-002dB,-4.06303914763322e-002°)	(-1.28605088606338e-002dB,-4.06303914763322e-002°)	(-5.57006660827759e+001dB,2.55714901382032e+001°)
1.14422290788445e+006	(-5.56697848669186e+001dB,2.58109595308051e+001°)	(-1.28803531054797e-002dB,-4.11309901668838e-002°)	(-1.28803531054807e-002dB,-4.11309901668837e-002°)	(-5.56697848669186e+001dB,2.58109595308047e+001°)
1.15832328625471e+006	(-5.56385475011333e+001dB,2.60518606286070e+001°)	(-1.29003202116802e-002dB,-4.16377560439499e-002°)	(-1.29003202116840e-002dB,-4.16377560439499e-002°)	(-5.56385475011348e+001dB,2.60518606286038e+001°)
1.17259742505994e+006	(-5.56069503784757e+001dB,2.62941830764334e+001°)	(-1.29204109579775e-002dB,-4.21507650684864e-002°)	(-1.29204109579717e-002dB,-4.21507650684862e-002°)	(-5.56069503784786e+001dB,2.62941830764456e+001°)
1.18704746556813e+006	(-5.55749899022997e+001dB,2.65379160294225e+001°)	(-1.29406261288930e-002dB,-4.26700941521638e-002°)	(-1.29406261288978e-002dB,-4.26700941521637e-002°)	(-5.55749899022960e+001dB,2.65379160294023e+001°)
1.20167557543434e+006	(-5.55426624876333e+001dB,2.67830481650799e+001°)	(-1.29609665160212e-002dB,-4.31958211445289e-002°)	(-1.29609665160232e-002dB,-4.31958211445288e-002°)	(-5.55426624876336e+001dB,2.67830481650597e+001°)
1.21648394902585e+006	(-5.55099645610970e+001dB,2.70295676734242e+001°)	(-1.29814329144204e-002dB,-4.37280248458062e-002°)	(-1.29814329144204e-002dB,-4.37280248458062e-002°)	(-5.55099645610977e+001dB,2.70295676734145e+001°)
1.23147480775137e+006	(-5.54768925641784e+001dB,2.72774622479983e+001°)	(-1.30020261241334e-002dB,-4.42667850353983e-002°)	(-1.30020261241392e-002dB,-4.42667850353983e-002°)	(-5.54768925641784e+001dB,2.72774622479985e+001°)
1.24665040039428e+006	(-5.54434429554513e+001dB,2.75267190873504e+001°)	(-1.30227469512233e-002dB,-4.48121824802737e-002°)	(-1.30227469512271e-002dB,-4.48121824802734e-002°)	(-5.54434429554503e+001dB,2.75267190873301e+001°)
