Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.47498474921769e+001dB,6.77946215160743e+000°)	(-5.00619588068240e-002dB,-3.93724219538355e-002°)	(-5.00619588068211e-002dB,-3.93724219538354e-002°)	(-4.47498474921747e+001dB,6.77946215160041e+000°)
2.04975000000000e+007	(-3.62286601138983e+001dB,6.49505008883834e+001°)	(-5.60976823436213e-002dB,-8.06509355974935e-001°)	(-5.60976823436223e-002dB,-8.06509355974934e-001°)	(-3.62286601138989e+001dB,6.49505008883807e+001°)
3.99950000000000e+007	(-3.09824419967277e+001dB,7.48319235044302e+001°)	(-6.11470658649001e-002dB,-1.57294250072719e+000°)	(-6.11470658648981e-002dB,-1.57294250072719e+000°)	(-3.09824419967282e+001dB,7.48319235044284e+001°)
5.94925000000000e+007	(-2.76644718951723e+001dB,7.81071027007958e+001°)	(-6.71488309456068e-002dB,-2.33858538336024e+000°)	(-6.71488309456078e-002dB,-2.33858538336024e+000°)	(-2.76644718951727e+001dB,7.81071027007946e+001°)
7.89900000000000e+007	(-2.52570824244667e+001dB,7.94659449589334e+001°)	(-7.43820585992269e-002dB,-3.10326006339419e+000°)	(-7.43820585992279e-002dB,-3.10326006339419e+000°)	(-2.52570824244661e+001dB,7.94659449589341e+001°)
9.84875000000000e+007	(-2.33724746187432e+001dB,8.00151373834153e+001°)	(-8.29531365056144e-002dB,-3.86676658196783e+000°)	(-8.29531365056164e-002dB,-3.86676658196783e+000°)	(-2.33724746187436e+001dB,8.00151373834146e+001°)
1.17985000000000e+008	(-2.18262028506307e+001dB,8.01472400612452e+001°)	(-9.29131378091425e-002dB,-4.62889636538324e+000°)	(-9.29131378091425e-002dB,-4.62889636538323e+000°)	(-2.18262028506300e+001dB,8.01472400612461e+001°)
1.37482500000000e+008	(-2.05166888588341e+001dB,8.00365304813215e+001°)	(-1.04288529653678e-001dB,-5.38943739713368e+000°)	(-1.04288529653676e-001dB,-5.38943739713368e+000°)	(-2.05166888588340e+001dB,8.00365304813217e+001°)
1.56980000000000e+008	(-1.93821654298176e+001dB,7.97722990624105e+001°)	(-1.17092561379232e-001dB,-6.14817685530781e+000°)	(-1.17092561379234e-001dB,-6.14817685530781e+000°)	(-1.93821654298179e+001dB,7.97722990624104e+001°)
1.76477500000000e+008	(-1.83823108287141e+001dB,7.94051102950852e+001°)	(-1.31330400469639e-001dB,-6.90490271509966e+000°)	(-1.31330400469638e-001dB,-6.90490271509966e+000°)	(-1.83823108287132e+001dB,7.94051102950858e+001°)
1.95975000000000e+008	(-1.74893623377801e+001dB,7.89658062540946e+001°)	(-1.47001771242290e-001dB,-7.65940484937478e+000°)	(-1.47001771242288e-001dB,-7.65940484937478e+000°)	(-1.74893623377802e+001dB,7.89658062540946e+001°)
2.15472500000000e+008	(-1.66833950211023e+001dB,7.84743136516393e+001°)	(-1.64102446997791e-001dB,-8.41147585348451e+000°)	(-1.64102446997788e-001dB,-8.41147585348451e+000°)	(-1.66833950211023e+001dB,7.84743136516392e+001°)
2.34970000000000e+008	(-1.59496261671652e+001dB,7.79441142121392e+001°)	(-1.82625160385245e-001dB,-9.16091170254379e+000°)	(-1.82625160385245e-001dB,-9.16091170254380e+000°)	(-1.59496261671655e+001dB,7.79441142121392e+001°)
2.54467500000000e+008	(-1.52767857611148e+001dB,7.73846814610199e+001°)	(-2.02560195401718e-001dB,-9.90751229765349e+000°)	(-2.02560195401718e-001dB,-9.90751229765348e+000°)	(-1.52767857611151e+001dB,7.73846814610198e+001°)
