Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
2.90612750000000e+009	(-8.67511332040883e-001dB,2.45095123696602e+001°)	(-7.64168075603402e+000dB,-6.48078607871239e+001°)	(-7.64168075603402e+000dB,-6.48078607871239e+001°)	(-8.67511332041100e-001dB,2.45095123696602e+001°)
2.92562500000000e+009	(-8.53429662892463e-001dB,2.43106415733915e+001°)	(-7.70811067604828e+000dB,-6.50062065148868e+001°)	(-7.70811067604828e+000dB,-6.50062065148868e+001°)	(-8.53429662892451e-001dB,2.43106415733915e+001°)
2.94512250000000e+009	(-8.39593337838848e-001dB,2.41133919111464e+001°)	(-7.77460882514948e+000dB,-6.52028564417274e+001°)	(-7.77460882514948e+000dB,-6.52028564417274e+001°)	(-8.39593337838952e-001dB,2.41133919111464e+001°)
2.96462000000000e+009	(-8.25997289643187e-001dB,2.39177422478682e+001°)	(-7.84117670746563e+000dB,-6.53978315018332e+001°)	(-7.84117670746563e+000dB,-6.53978315018331e+001°)	(-8.25997289643212e-001dB,2.39177422478682e+001°)
2.98411750000000e+009	(-8.12636578343561e-001dB,2.37236717583565e+001°)	(-7.90781587692578e+000dB,-6.55911522946922e+001°)	(-7.90781587692579e+000dB,-6.55911522946921e+001°)	(-8.12636578343346e-001dB,2.37236717583565e+001°)
3.00361500000000e+009	(-7.99506387569281e-001dB,2.35311599233053e+001°)	(-7.97452793657910e+000dB,-6.57828390891538e+001°)	(-7.97452793657910e+000dB,-6.57828390891538e+001°)	(-7.99506387569333e-001dB,2.35311599233053e+001°)
3.02311250000000e+009	(-7.86602020978966e-001dB,2.33401865253363e+001°)	(-8.04131453795939e+000dB,-6.59729118274736e+001°)	(-8.04131453795939e+000dB,-6.59729118274736e+001°)	(-7.86602020979027e-001dB,2.33401865253363e+001°)
3.04261000000000e+009	(-7.73918898809673e-001dB,2.31507316450296e+001°)	(-8.10817738049159e+000dB,-6.61613901293342e+001°)	(-8.10817738049159e+000dB,-6.61613901293342e+001°)	(-7.73918898809717e-001dB,2.31507316450296e+001°)
3.06210750000000e+009	(-7.61452554540980e-001dB,2.29627756569574e+001°)	(-8.17511821094301e+000dB,-6.63482932958451e+001°)	(-8.17511821094301e+000dB,-6.63482932958451e+001°)	(-7.61452554540984e-001dB,2.29627756569574e+001°)
3.08160500000000e+009	(-7.49198631664769e-001dB,2.27762992257238e+001°)	(-8.24213882291623e+000dB,-6.65336403135133e+001°)	(-8.24213882291623e+000dB,-6.65336403135133e+001°)	(-7.49198631664848e-001dB,2.27762992257237e+001°)
3.10110250000000e+009	(-7.37152880559444e-001dB,2.25912833020138e+001°)	(-8.30924105638410e+000dB,-6.67174498581839e+001°)	(-8.30924105638410e+000dB,-6.67174498581840e+001°)	(-7.37152880559496e-001dB,2.25912833020138e+001°)
3.12060000000000e+009	(-7.25311155462747e-001dB,2.24077091186554e+001°)	(-8.37642679726519e+000dB,-6.68997402989468e+001°)	(-8.37642679726519e+000dB,-6.68997402989468e+001°)	(-7.25311155462847e-001dB,2.24077091186554e+001°)
3.14009750000000e+009	(-7.13669411542352e-001dB,2.22255581866968e+001°)	(-8.44369797704027e+000dB,-6.70805297020068e+001°)	(-8.44369797704027e+000dB,-6.70805297020068e+001°)	(-7.13669411542412e-001dB,2.22255581866968e+001°)
3.15959500000000e+009	(-7.02223702058056e-001dB,2.20448122915017e+001°)	(-8.51105657240798e+000dB,-6.72598358345151e+001°)	(-8.51105657240798e+000dB,-6.72598358345151e+001°)	(-7.02223702058071e-001dB,2.20448122915018e+001°)
3.17909250000000e+009	(-6.90970175614486e-001dB,2.18654534888665e+001°)	(-8.57850460498005e+000dB,-6.74376761683593e+001°)	(-8.57850460498005e+000dB,-6.74376761683593e+001°)	(-6.90970175614528e-001dB,2.18654534888665e+001°)
3.19859000000000e+009	(-6.79905073500301e-001dB,2.16874641011586e+001°)	(-8.64604414101535e+000dB,-6.76140678839102e+001°)	(-8.64604414101535e+000dB,-6.76140678839102e+001°)	(-6.79905073500382e-001dB,2.16874641011586e+001°)
3.21808750000000e+009	(-6.69024727110355e-001dB,2.15108267134819e+001°)	(-8.71367729119155e+000dB,-6.77890278737223e+001°)	(-8.71367729119155e+000dB,-6.77890278737223e+001°)	(-6.69024727110422e-001dB,2.15108267134819e+001°)
3.23758500000000e+009	(-6.58325555449132e-001dB,2.13355241698681e+001°)	(-8.78140621041522e+000dB,-6.79625727461873e+001°)	(-8.78140621041522e+000dB,-6.79625727461873e+001°)	(-6.58325555448949e-001dB,2.13355241698681e+001°)
3.25708250000000e+009	(-6.47804062710763e-001dB,2.11615395694975e+001°)	(-8.84923309766834e+000dB,-6.81347188291378e+001°)	(-8.84923309766834e+000dB,-6.81347188291378e+001°)	(-6.47804062710789e-001dB,2.11615395694975e+001°)
3.27658000000000e+009	(-6.37456835937026e-001dB,2.09888562629502e+001°)	(-8.91716019589320e+000dB,-6.83054821734009e+001°)	(-8.91716019589320e+000dB,-6.83054821734009e+001°)	(-6.37456835937161e-001dB,2.09888562629502e+001°)
3.29607750000000e+009	(-6.27280542744446e-001dB,2.08174578484894e+001°)	(-8.98518979191205e+000dB,-6.84748785562974e+001°)	(-8.98518979191205e+000dB,-6.84748785562974e+001°)	(-6.27280542744372e-001dB,2.08174578484894e+001°)
3.31557500000000e+009	(-6.17271929122707e-001dB,2.06473281683780e+001°)	(-9.05332421638385e+000dB,-6.86429234850881e+001°)	(-9.05332421638384e+000dB,-6.86429234850881e+001°)	(-6.17271929122802e-001dB,2.06473281683780e+001°)
3.33507250000000e+009	(-6.07427817303130e-001dB,2.04784513052301e+001°)	(-9.12156584379788e+000dB,-6.88096322003654e+001°)	(-9.12156584379788e+000dB,-6.88096322003654e+001°)	(-6.07427817303163e-001dB,2.04784513052301e+001°)
3.35457000000000e+009	(-5.97745103688040e-001dB,2.03108115783980e+001°)	(-9.18991709250087e+000dB,-6.89750196793853e+001°)	(-9.18991709250087e+000dB,-6.89750196793853e+001°)	(-5.97745103688261e-001dB,2.03108115783980e+001°)
3.37406750000000e+009	(-5.88220756848170e-001dB,2.01443935403962e+001°)	(-9.25838042476210e+000dB,-6.91391006393448e+001°)	(-9.25838042476210e+000dB,-6.91391006393448e+001°)	(-5.88220756848178e-001dB,2.01443935403963e+001°)
3.39356500000000e+009	(-5.78851815576374e-001dB,1.99791819733629e+001°)	(-9.32695834687141e+000dB,-6.93018895405974e+001°)	(-9.32695834687141e+000dB,-6.93018895405974e+001°)	(-5.78851815576196e-001dB,1.99791819733629e+001°)
3.41306250000000e+009	(-5.69635387003915e-001dB,1.98151618855595e+001°)	(-9.39565340927408e+000dB,-6.94634005898096e+001°)	(-9.39565340927407e+000dB,-6.94634005898096e+001°)	(-5.69635387003796e-001dB,1.98151618855595e+001°)
3.43256000000000e+009	(-5.60568644772819e-001dB,1.96523185079107e+001°)	(-9.46446820674033e+000dB,-6.96236477430564e+001°)	(-9.46446820674033e+000dB,-6.96236477430564e+001°)	(-5.60568644772706e-001dB,1.96523185079107e+001°)
3.45205750000000e+009	(-5.51648827262120e-001dB,1.94906372905823e+001°)	(-9.53340537856925e+000dB,-6.97826447088542e+001°)	(-9.53340537856925e+000dB,-6.97826447088542e+001°)	(-5.51648827262021e-001dB,1.94906372905823e+001°)
3.47155500000000e+009	(-5.42873235868935e-001dB,1.93301038996011e+001°)	(-9.60246760882836e+000dB,-6.99404049511303e+001°)	(-9.60246760882836e+000dB,-6.99404049511303e+001°)	(-5.42873235868659e-001dB,1.93301038996011e+001°)
3.49105250000000e+009	(-5.34239233339230e-001dB,1.91707042135141e+001°)	(-9.67165762662722e+000dB,-7.00969416921286e+001°)	(-9.67165762662722e+000dB,-7.00969416921286e+001°)	(-5.34239233339176e-001dB,1.91707042135141e+001°)
3.51055000000000e+009	(-5.25744242151316e-001dB,1.90124243200902e+001°)	(-9.74097820642737e+000dB,-7.02522679152515e+001°)	(-9.74097820642737e+000dB,-7.02522679152515e+001°)	(-5.25744242151251e-001dB,1.90124243200902e+001°)
3.53004750000000e+009	(-5.17385742943653e-001dB,1.88552505130619e+001°)	(-9.81043216838565e+000dB,-7.04063963678343e+001°)	(-9.81043216838565e+000dB,-7.04063963678343e+001°)	(-5.17385742943815e-001dB,1.88552505130619e+001°)
3.54954500000000e+009	(-5.09161272993071e-001dB,1.86991692889099e+001°)	(-9.88002237873429e+000dB,-7.05593395638554e+001°)	(-9.88002237873429e+000dB,-7.05593395638554e+001°)	(-5.09161272993049e-001dB,1.86991692889099e+001°)
3.56904250000000e+009	(-5.01068424733967e-001dB,1.85441673436885e+001°)	(-9.94975175019453e+000dB,-7.07111097865769e+001°)	(-9.94975175019454e+000dB,-7.07111097865769e+001°)	(-5.01068424734067e-001dB,1.85441673436885e+001°)
3.58854000000000e+009	(-4.93104844325861e-001dB,1.83902315698941e+001°)	(-1.00196232424279e+001dB,-7.08617190911203e+001°)	(-1.00196232424279e+001dB,-7.08617190911203e+001°)	(-4.93104844325603e-001dB,1.83902315698941e+001°)
3.60803750000000e+009	(-4.85268230257260e-001dB,1.82373490533744e+001°)	(-1.00896398625206e+001dB,-7.10111793069704e+001°)	(-1.00896398625206e+001dB,-7.10111793069704e+001°)	(-4.85268230257335e-001dB,1.82373490533744e+001°)
