Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.52674462776205e+001dB,6.55278222216595e+000°)	(-4.71801009559589e-002dB,-3.58480290204159e-002°)	(-4.71801009559637e-002dB,-3.58480290204159e-002°)	(-4.52674462776227e+001dB,6.55278222216203e+000°)
2.22475000000000e+007	(-3.63396263855097e+001dB,6.50491972122540e+001°)	(-5.51848222760584e-002dB,-7.96826851644903e-001°)	(-5.51848222760574e-002dB,-7.96826851644903e-001°)	(-3.63396263855103e+001dB,6.50491972122492e+001°)
4.34950000000000e+007	(-3.10654945394488e+001dB,7.46926179320417e+001°)	(-6.11722113130154e-002dB,-1.55694309461422e+000°)	(-6.11722113130164e-002dB,-1.55694309461422e+000°)	(-3.10654945394485e+001dB,7.46926179320422e+001°)
6.47425000000000e+007	(-2.77422772255312e+001dB,7.79049449815779e+001°)	(-6.78606931187250e-002dB,-2.31617152620828e+000°)	(-6.78606931187270e-002dB,-2.31617152620827e+000°)	(-2.77422772255317e+001dB,7.79049449815772e+001°)
8.59900000000000e+007	(-2.53332883815744e+001dB,7.92470414742186e+001°)	(-7.56364046347642e-002dB,-3.07436075829074e+000°)	(-7.56364046347632e-002dB,-3.07436075829074e+000°)	(-2.53332883815743e+001dB,7.92470414742186e+001°)
1.07237500000000e+008	(-2.34480952285345e+001dB,7.97956237528412e+001°)	(-8.46477344985491e-002dB,-3.83132873667325e+000°)	(-8.46477344985511e-002dB,-3.83132873667325e+000°)	(-2.34480952285346e+001dB,7.97956237528410e+001°)
1.28485000000000e+008	(-2.19016039711364e+001dB,7.99337844827643e+001°)	(-9.49674304739051e-002dB,-4.58688089580825e+000°)	(-9.49674304739051e-002dB,-4.58688089580825e+000°)	(-2.19016039711363e+001dB,7.99337844827642e+001°)
1.49732500000000e+008	(-2.05920194469583e+001dB,7.98321372163928e+001°)	(-1.06634913863350e-001dB,-5.34081704741079e+000°)	(-1.06634913863351e-001dB,-5.34081704741079e+000°)	(-2.05920194469586e+001dB,7.98321372163924e+001°)
1.70980000000000e+008	(-1.94574865901535e+001dB,7.95783558255739e+001°)	(-1.19671948478388e-001dB,-6.09293480906514e+000°)	(-1.19671948478389e-001dB,-6.09293480906514e+000°)	(-1.94574865901534e+001dB,7.95783558255738e+001°)
1.92227500000000e+008	(-1.84576432030405e+001dB,7.92222260874531e+001°)	(-1.34089695477454e-001dB,-6.84303162481700e+000°)	(-1.34089695477460e-001dB,-6.84303162481701e+000°)	(-1.84576432030404e+001dB,7.92222260874528e+001°)
