Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.83156598901392e+001dB,3.07516992331674e+001°)	(-9.06501559313043e-003dB,-3.56028270936870e-002°)	(-9.06501559313332e-003dB,-3.56028270936871e-002°)	(-5.83156598901361e+001dB,3.07516992332018e+001°)
1.51766169154229e+007	(-4.03733738884838e+001dB,7.91248639707777e+001°)	(-1.53265864895241e-002dB,-5.39953267867342e-001°)	(-1.53265864895241e-002dB,-5.39953267867342e-001°)	(-4.03733738884811e+001dB,7.91248639707771e+001°)
2.93532338308458e+007	(-3.47339152939616e+001dB,8.24639338769007e+001°)	(-1.94710068359668e-002dB,-1.04389527871548e+000°)	(-1.94710068359668e-002dB,-1.04389527871548e+000°)	(-3.47339152939606e+001dB,8.24639338768995e+001°)
4.35298507462687e+007	(-3.13382842230244e+001dB,8.34840673412298e+001°)	(-2.35915813605616e-002dB,-1.54748449632518e+000°)	(-2.35915813605616e-002dB,-1.54748449632518e+000°)	(-3.13382842230226e+001dB,8.34840673412302e+001°)
5.77064676616915e+007	(-2.89037196730346e+001dB,8.38259932847945e+001°)	(-2.80145966234039e-002dB,-2.05070789695447e+000°)	(-2.80145966234019e-002dB,-2.05070789695447e+000°)	(-2.89037196730331e+001dB,8.38259932847952e+001°)
7.18830845771144e+007	(-2.70055672303806e+001dB,8.38707111884296e+001°)	(-3.28693248460291e-002dB,-2.55353460218325e+000°)	(-3.28693248460252e-002dB,-2.55353460218325e+000°)	(-2.70055672303792e+001dB,8.38707111884301e+001°)
8.60597014925373e+007	(-2.54502675488382e+001dB,8.37566374244814e+001°)	(-3.82222363779252e-002dB,-3.05592576543426e+000°)	(-3.82222363779281e-002dB,-3.05592576543426e+000°)	(-2.54502675488370e+001dB,8.37566374244806e+001°)
1.00236318407960e+008	(-2.41332175158751e+001dB,8.35469547999906e+001°)	(-4.41124424136126e-002dB,-3.55783824364104e+000°)	(-4.41124424136136e-002dB,-3.55783824364104e+000°)	(-2.41332175158725e+001dB,8.35469547999907e+001°)
1.14412935323383e+008	(-2.29914493381790e+001dB,8.32749064996450e+001°)	(-5.05648875522368e-002dB,-4.05922634574006e+000°)	(-5.05648875522368e-002dB,-4.05922634574006e+000°)	(-2.29914493381774e+001dB,8.32749064996452e+001°)
1.28589552238806e+008	(-2.19841056405623e+001dB,8.29597823038332e+001°)	(-5.75963005267892e-002dB,-4.56004279834620e+000°)	(-5.75963005267854e-002dB,-4.56004279834620e+000°)	(-2.19841056405617e+001dB,8.29597823038335e+001°)
1.42766169154229e+008	(-2.10831657907222e+001dB,8.26136107310836e+001°)	(-6.52182399393497e-002dB,-5.06023933661754e+000°)	(-6.52182399393507e-002dB,-5.06023933661754e+000°)	(-2.10831657907214e+001dB,8.26136107310835e+001°)
1.56942786069652e+008	(-2.02685752441864e+001dB,8.22443193986591e+001°)	(-7.34388008960397e-002dB,-5.55976709471981e+000°)	(-7.34388008960397e-002dB,-5.55976709471981e+000°)	(-2.02685752441846e+001dB,8.22443193986591e+001°)
1.71119402985075e+008	(-1.95254857913059e+001dB,8.18573685027825e+001°)	(-8.22636391796720e-002dB,-6.05857688007797e+000°)	(-8.22636391796690e-002dB,-6.05857688007797e+000°)	(-1.95254857913054e+001dB,8.18573685027828e+001°)
1.85296019900498e+008	(-1.88425960562837e+001dB,8.14566566798780e+001°)	(-9.16966200143523e-002dB,-6.55661937585177e+000°)	(-9.16966200143523e-002dB,-6.55661937585177e+000°)	(-1.88425960562818e+001dB,8.14566566798783e+001°)
1.99472636815920e+008	(-1.82111045801699e+001dB,8.10450525855311e+001°)	(-1.01740247496035e-001dB,-7.05384529675072e+000°)	(-1.01740247496034e-001dB,-7.05384529675072e+000°)	(-1.82111045801684e+001dB,8.10450525855312e+001°)
2.13649253731343e+008	(-1.76240227175935e+001dB,8.06247216806794e+001°)	(-1.12395959482478e-001dB,-7.55020551319842e+000°)	(-1.12395959482478e-001dB,-7.55020551319842e+000°)	(-1.76240227175922e+001dB,8.06247216806793e+001°)
2.27825870646766e+008	(-1.70757084602298e+001dB,8.01973350956955e+001°)	(-1.23664336535464e-001dB,-8.04565115320246e+000°)	(-1.23664336535466e-001dB,-8.04565115320245e+000°)	(-1.70757084602284e+001dB,8.01973350956955e+001°)
2.42002487562189e+008	(-1.65615410778098e+001dB,7.97642076164794e+001°)	(-1.35545254072864e-001dB,-8.54013368799998e+000°)	(-1.35545254072861e-001dB,-8.54013368799997e+000°)	(-1.65615410778083e+001dB,7.97642076164794e+001°)
2.56179104477612e+008	(-1.60776884318525e+001dB,7.93263914789588e+001°)	(-1.48037995887044e-001dB,-9.03360500553297e+000°)	(-1.48037995887043e-001dB,-9.03360500553297e+000°)	(-1.60776884318508e+001dB,7.93263914789589e+001°)
2.70355721393035e+008	(-1.56209369891354e+001dB,7.88847417247777e+001°)	(-1.61141340717045e-001dB,-9.52601747453374e+000°)	(-1.61141340717043e-001dB,-9.52601747453374e+000°)	(-1.56209369891338e+001dB,7.88847417247780e+001°)
2.84532338308458e+008	(-1.51885652949621e+001dB,7.84399627429521e+001°)	(-1.74853629612599e-001dB,-1.00173240011757e+001°)	(-1.74853629612601e-001dB,-1.00173240011757e+001°)	(-1.51885652949606e+001dB,7.84399627429522e+001°)
2.98708955223881e+008	(-1.47782482200189e+001dB,7.79926420582645e+001°)	(-1.89172819340974e-001dB,-1.05074780796892e+001°)	(-1.89172819340974e-001dB,-1.05074780796892e+001°)	(-1.47782482200175e+001dB,7.79926420582644e+001°)
