Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-4.52728944388989e+001dB,6.54904905071531e+000°)	(-4.71507931796261e-002dB,-3.58051087294746e-002°)	(-4.71507931796300e-002dB,-3.58051087294746e-002°)	(-4.52728944389046e+001dB,6.54904905071296e+000°)
2.22475000000000e+007	(-3.64226399005222e+001dB,6.61908229810848e+001°)	(-5.22571038773549e-002dB,-7.96138693924072e-001°)	(-5.22571038773539e-002dB,-7.96138693924072e-001°)	(-3.64226399005204e+001dB,6.61908229810975e+001°)
4.34950000000000e+007	(-3.11070232081042e+001dB,7.56878815901439e+001°)	(-5.67786525482275e-002dB,-1.55586239285684e+000°)	(-5.67786525482246e-002dB,-1.55586239285684e+000°)	(-3.11070232081027e+001dB,7.56878815901484e+001°)
6.47425000000000e+007	(-2.77687560457142e+001dB,7.87718147011673e+001°)	(-6.23337472229787e-002dB,-2.31486928828299e+000°)	(-6.23337472229816e-002dB,-2.31486928828299e+000°)	(-2.77687560457140e+001dB,7.87718147011673e+001°)
8.59900000000000e+007	(-2.53522040551572e+001dB,8.00222809424348e+001°)	(-6.91510533526097e-002dB,-3.07297777366325e+000°)	(-6.91510533526117e-002dB,-3.07297777366325e+000°)	(-2.53522040551560e+001dB,8.00222809424369e+001°)
1.07237500000000e+008	(-2.34624133196454e+001dB,8.05027420558198e+001°)	(-7.73171175159627e-002dB,-3.82998852657348e+000°)	(-7.73171175159676e-002dB,-3.82998852657348e+000°)	(-2.34624133196450e+001dB,8.05027420558201e+001°)
1.28485000000000e+008	(-2.19127709309919e+001dB,8.05879463553270e+001°)	(-8.68729256075193e-002dB,-4.58569547711409e+000°)	(-8.68729256075183e-002dB,-4.58569547711410e+000°)	(-2.19127709309910e+001dB,8.05879463553280e+001°)
1.49732500000000e+008	(-2.06008428786880e+001dB,8.04436316397845e+001°)	(-9.78391130595369e-002dB,-5.33989007145525e+000°)	(-9.78391130595389e-002dB,-5.33989007145525e+000°)	(-2.06008428786874e+001dB,8.04436316397849e+001°)
1.70980000000000e+008	(-1.94644621402844e+001dB,8.01544937810790e+001°)	(-1.10225306344686e-001dB,-6.09236347317034e+000°)	(-1.10225306344685e-001dB,-6.09236347317035e+000°)	(-1.94644621402848e+001dB,8.01544937810788e+001°)
1.92227500000000e+008	(-1.84630971331408e+001dB,7.97684034102222e+001°)	(-1.24034335276856e-001dB,-6.84290792227432e+000°)	(-1.24034335276857e-001dB,-6.84290792227432e+000°)	(-1.84630971331414e+001dB,7.97684034102219e+001°)
2.13475000000000e+008	(-1.75688652042966e+001dB,7.93145157095089e+001°)	(-1.39264398321358e-001dB,-7.59131768493694e+000°)	(-1.39264398321362e-001dB,-7.59131768493694e+000°)	(-1.75688652042977e+001dB,7.93145157095079e+001°)
2.34722500000000e+008	(-1.67617682840911e+001dB,7.88116448747497e+001°)	(-1.55910288779266e-001dB,-8.33738977740566e+000°)	(-1.55910288779264e-001dB,-8.33738977740565e+000°)	(-1.67617682840912e+001dB,7.88116448747499e+001°)
2.55970000000000e+008	(-1.60269767530375e+001dB,7.82725075831086e+001°)	(-1.73964144804234e-001dB,-9.08092455181355e+000°)	(-1.73964144804231e-001dB,-9.08092455181354e+000°)	(-1.60269767530380e+001dB,7.82725075831084e+001°)
2.77217500000000e+008	(-1.53531892771618e+001dB,7.77060328202057e+001°)	(-1.93415939087466e-001dB,-9.82172618953674e+000°)	(-1.93415939087469e-001dB,-9.82172618953675e+000°)	(-1.53531892771619e+001dB,7.77060328202057e+001°)
2.98465000000000e+008	(-1.47315949839027e+001dB,7.71186938253042e+001°)	(-2.14253817571646e-001dB,-1.05596031274651e+001°)	(-2.14253817571648e-001dB,-1.05596031274651e+001°)	(-1.47315949839022e+001dB,7.71186938253046e+001°)
3.19712500000000e+008	(-1.41551908328123e+001dB,7.65153135188737e+001°)	(-2.36464346389152e-001dB,-1.12943684320314e+001°)	(-2.36464346389155e-001dB,-1.12943684320314e+001°)	(-1.41551908328117e+001dB,7.65153135188740e+001°)
3.40960000000000e+008	(-1.36183177176618e+001dB,7.58995713422438e+001°)	(-2.60032700793774e-001dB,-1.20258401300503e+001°)	(-2.60032700793778e-001dB,-1.20258401300503e+001°)	(-1.36183177176626e+001dB,7.58995713422436e+001°)
3.62207500000000e+008	(-1.31163362985459e+001dB,7.52743332039544e+001°)	(-2.84942816209075e-001dB,-1.27538415021074e+001°)	(-2.84942816209079e-001dB,-1.27538415021074e+001°)	(-1.31163362985464e+001dB,7.52743332039542e+001°)
