Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
1.00000000000000e+006	(-5.27937549622580e+001dB,1.58349030584965e+001°)	(-1.91763429895104e-002dB,-3.59206112103048e-002°)	(-1.91763429895133e-002dB,-3.59206112103050e-002°)	(-5.27937549622574e+001dB,1.58349030584915e+001°)
1.01001774583802e+006	(-5.27817921815830e+001dB,1.59751085480857e+001°)	(-1.91893680691196e-002dB,-3.62804004131726e-002°)	(-1.91893680691196e-002dB,-3.62804004131727e-002°)	(-5.27817921815831e+001dB,1.59751085481027e+001°)
1.02013584690772e+006	(-5.27697006421951e+001dB,1.61163771500069e+001°)	(-1.92024587275935e-002dB,-3.66437930849173e-002°)	(-1.92024587275945e-002dB,-3.66437930849172e-002°)	(-5.27697006421955e+001dB,1.61163771499970e+001°)
1.03035530854230e+006	(-5.27574786900783e+001dB,1.62587129120872e+001°)	(-1.92156153021435e-002dB,-3.70108252907239e-002°)	(-1.92156153021435e-002dB,-3.70108252907240e-002°)	(-5.27574786900762e+001dB,1.62587129120744e+001°)
1.04067714614614e+006	(-5.27451246551745e+001dB,1.64021197861539e+001°)	(-1.92288381341904e-002dB,-3.73815334901838e-002°)	(-1.92288381341895e-002dB,-3.73815334901839e-002°)	(-5.27451246551726e+001dB,1.64021197861367e+001°)
1.05110238529567e+006	(-5.27326368487198e+001dB,1.65466016427168e+001°)	(-1.92421275651599e-002dB,-3.77559544908082e-002°)	(-1.92421275651618e-002dB,-3.77559544908083e-002°)	(-5.27326368487186e+001dB,1.65466016427065e+001°)
1.06163206184130e+006	(-5.27200135642197e+001dB,1.66921622603054e+001°)	(-1.92554839378746e-002dB,-3.81341254731321e-002°)	(-1.92554839378717e-002dB,-3.81341254731320e-002°)	(-5.27200135642188e+001dB,1.66921622603070e+001°)
1.07226722201032e+006	(-5.27072530783126e+001dB,1.68388053203728e+001°)	(-1.92689075981521e-002dB,-3.85160840031478e-002°)	(-1.92689075981492e-002dB,-3.85160840031477e-002°)	(-5.27072530783115e+001dB,1.68388053203415e+001°)
1.08300892251087e+006	(-5.26943536499701e+001dB,1.69865344228901e+001°)	(-1.92823988949240e-002dB,-3.89018679912281e-002°)	(-1.92823988949211e-002dB,-3.89018679912282e-002°)	(-5.26943536499709e+001dB,1.69865344228731e+001°)
1.09385823063689e+006	(-5.26813135203709e+001dB,1.71353530585902e+001°)	(-1.92959581773137e-002dB,-3.92915157505069e-002°)	(-1.92959581773118e-002dB,-3.92915157505069e-002°)	(-5.26813135203742e+001dB,1.71353530586115e+001°)
1.10481622437424e+006	(-5.26681309114863e+001dB,1.72852646116563e+001°)	(-1.93095857919408e-002dB,-3.96850659813844e-002°)	(-1.93095857919388e-002dB,-3.96850659813845e-002°)	(-5.26681309114832e+001dB,1.72852646116490e+001°)
1.11588399250775e+006	(-5.26548040325554e+001dB,1.74362723759716e+001°)	(-1.93232820992827e-002dB,-4.00825577616423e-002°)	(-1.93232820992817e-002dB,-4.00825577616423e-002°)	(-5.26548040325522e+001dB,1.74362723759660e+001°)
1.12706263472941e+006	(-5.26413310721313e+001dB,1.75883795297544e+001°)	(-1.93370474534607e-002dB,-4.04840305638556e-002°)	(-1.93370474534617e-002dB,-4.04840305638557e-002°)	(-5.26413310721319e+001dB,1.75883795297597e+001°)
1.13835326174766e+006	(-5.26277102005616e+001dB,1.77415891411743e+001°)	(-1.93508822085156e-002dB,-4.08895242505277e-002°)	(-1.93508822085195e-002dB,-4.08895242505278e-002°)	(-5.26277102005611e+001dB,1.77415891411676e+001°)
1.14975699539773e+006	(-5.26139395734459e+001dB,1.78959041671137e+001°)	(-1.93647867261661e-002dB,-4.12990790897444e-002°)	(-1.93647867261632e-002dB,-4.12990790897445e-002°)	(-5.26139395734453e+001dB,1.78959041670921e+001°)
1.16127496875312e+006	(-5.26000173290288e+001dB,1.80513274530506e+001°)	(-1.93787613701133e-002dB,-4.17127357399953e-002°)	(-1.93787613701104e-002dB,-4.17127357399953e-002°)	(-5.26000173290311e+001dB,1.80513274530744e+001°)
