Freq.	S11(v1)	S12(v1)	S21(v1)	S22(v1)
5.95513724493145e+006	(-4.65060544715828e+001dB,5.20518507362069e+001°)	(-2.52312157591147e-002dB,-2.14250281832764e-001°)	(-2.52312157591147e-002dB,-2.14250281832764e-001°)	(-4.65060544715850e+001dB,5.20518507361821e+001°)
6.01479429628172e+006	(-4.64488165545256e+001dB,5.23007581604253e+001°)	(-2.52551810781918e-002dB,-2.16396002400102e-001°)	(-2.52551810781947e-002dB,-2.16396002400102e-001°)	(-4.64488165545286e+001dB,5.23007581603934e+001°)
6.07504897680986e+006	(-4.63912342749022e+001dB,5.25489525696154e+001°)	(-2.52792845799737e-002dB,-2.18563209180987e-001°)	(-2.52792845799728e-002dB,-2.18563209180987e-001°)	(-4.63912342749040e+001dB,5.25489525695896e+001°)
6.13590727341309e+006	(-4.63333095870124e+001dB,5.27964164644123e+001°)	(-2.53035273264867e-002dB,-2.20752117275150e-001°)	(-2.53035273264829e-002dB,-2.20752117275150e-001°)	(-4.63333095870136e+001dB,5.27964164644197e+001°)
6.19737523296382e+006	(-4.62750444849924e+001dB,5.30431326139983e+001°)	(-2.53279103901135e-002dB,-2.22962943932861e-001°)	(-2.53279103901115e-002dB,-2.22962943932861e-001°)	(-4.62750444849944e+001dB,5.30431326139851e+001°)
6.25945896291051e+006	(-4.62164410027373e+001dB,5.32890840681223e+001°)	(-2.53524348614589e-002dB,-2.25195908580872e-001°)	(-2.53524348614589e-002dB,-2.25195908580872e-001°)	(-4.62164410027397e+001dB,5.32890840681009e+001°)
6.32216463188449e+006	(-4.61575012116926e+001dB,5.35342541542056e+001°)	(-2.53771018423596e-002dB,-2.27451232837955e-001°)	(-2.53771018423586e-002dB,-2.27451232837954e-001°)	(-4.61575012116935e+001dB,5.35342541542073e+001°)
6.38549847031285e+006	(-4.60982272197226e+001dB,5.37786264796501e+001°)	(-2.54019124451532e-002dB,-2.29729140541824e-001°)	(-2.54019124451474e-002dB,-2.29729140541824e-001°)	(-4.60982272197236e+001dB,5.37786264796518e+001°)
6.44946677103753e+006	(-4.60386211706682e+001dB,5.40221849421905e+001°)	(-2.54268677990704e-002dB,-2.32029857770423e-001°)	(-2.54268677990694e-002dB,-2.32029857770423e-001°)	(-4.60386211706689e+001dB,5.40221849421843e+001°)
6.51407588994056e+006	(-4.59786852426740e+001dB,5.42649137287668e+001°)	(-2.54519690463084e-002dB,-2.34353612864829e-001°)	(-2.54519690463084e-002dB,-2.34353612864829e-001°)	(-4.59786852426755e+001dB,5.42649137287507e+001°)
6.57933224657558e+006	(-4.59184216471676e+001dB,5.45067973209134e+001°)	(-2.54772173440633e-002dB,-2.36700636449547e-001°)	(-2.54772173440595e-002dB,-2.36700636449548e-001°)	(-4.59184216471697e+001dB,5.45067973209037e+001°)
6.64524232480569e+006	(-4.58578326274718e+001dB,5.47478204952449e+001°)	(-2.55026138626504e-002dB,-2.39071161457186e-001°)	(-2.55026138626485e-002dB,-2.39071161457186e-001°)	(-4.58578326274736e+001dB,5.47478204952332e+001°)
6.71181267344767e+006	(-4.57969204578806e+001dB,5.49879683289829e+001°)	(-2.55281597883362e-002dB,-2.41465423150356e-001°)	(-2.55281597883391e-002dB,-2.41465423150356e-001°)	(-4.57969204578805e+001dB,5.49879683289834e+001°)
6.77904990692269e+006	(-4.57356874419982e+001dB,5.52272261976286e+001°)	(-2.55538563191235e-002dB,-2.43883659146269e-001°)	(-2.55538563191264e-002dB,-2.43883659146269e-001°)	(-4.57356874419994e+001dB,5.52272261976171e+001°)
6.84696070591352e+006	(-4.56741359122693e+001dB,5.54655797844383e+001°)	(-2.55797046717797e-002dB,-2.46326109438829e-001°)	(-2.55797046717758e-002dB,-2.46326109438829e-001°)	(-4.56741359122723e+001dB,5.54655797844126e+001°)
6.91555181802830e+006	(-4.56122682284912e+001dB,5.57030150793243e+001°)	(-2.56057060793024e-002dB,-2.48793016423734e-001°)	(-2.56057060792985e-002dB,-2.48793016423734e-001°)	(-4.56122682284924e+001dB,5.57030150793274e+001°)
6.98483005847099e+006	(-4.55500867759329e+001dB,5.59395183741368e+001°)	(-2.56318617848453e-002dB,-2.51284624922192e-001°)	(-2.56318617848462e-002dB,-2.51284624922191e-001°)	(-4.55500867759336e+001dB,5.59395183741280e+001°)
7.05480231071854e+006	(-4.54875939652867e+001dB,5.61750762751824e+001°)	(-2.56581730526291e-002dB,-2.53801182204964e-001°)	(-2.56581730526271e-002dB,-2.53801182204964e-001°)	(-4.54875939652875e+001dB,5.61750762751814e+001°)
